customer_id,first_purchase_date,last_purchase_date,total_orders,total_spent,average_order_value,customer_age,customer_segment,preferred_category,payment_method
CUST_001,2024-06-12,2024-09-07,2,751.88,375.94,33.0,Bronze,Fashion,Online
CUST_002,2024-01-27,2024-12-01,6,1820.64,303.44,20.0,Bronze,Electronics,Card
CUST_003,2024-02-29,2024-12-13,39,1276.86,32.74,30.0,Gold,Sports,Cash
CUST_004,2024-02-26,2024-11-11,38,5834.14,153.53,18.0,Bronze,Beauty,Cash
CUST_005,2024-03-12,2024-06-29,14,6712.44,479.46,39.0,Bronze,Electronics,Cash
CUST_006,2024-01-25,2024-08-25,23,7125.17,309.79,20.0,Gold,Beauty,Online
CUST_007,2024-02-01,2024-09-11,6,1709.88,284.98,58.0,Gold,Home,Online
CUST_008,2024-02-19,2024-04-24,3,1012.23,337.41,36.0,Bronze,Fashion,Card
CUST_009,2024-04-07,2024-09-26,30,9753.9,325.13,41.0,Bronze,Home,Cash
CUST_010,2024-02-23,2024-08-07,5,1561.9,312.38,28.0,Gold,Fashion,Card
CUST_011,2024-04-28,2024-12-08,18,8909.46,494.97,58.0,Gold,Sports,Card
CUST_012,2024-06-24,2025-01-06,4,519.76,129.94,20.0,Silver,Beauty,Cash
CUST_013,2024-01-17,2024-06-03,37,16304.42,440.66,38.0,Bronze,Beauty,Cash
CUST_014,2024-08-14,2025-08-08,30,2657.4,88.58,26.0,Bronze,Sports,Online
CUST_015,2024-03-08,2025-01-31,28,12626.6,450.95,43.0,Silver,Fashion,Card
CUST_016,2024-05-10,2025-02-16,6,2296.68,,25.0,Bronze,Fashion,Online
CUST_017,2024-04-18,2025-03-19,5,1023.45,204.69,56.0,Silver,Sports,Cash
CUST_018,2024-09-05,2025-07-15,1,346.54,346.54,25.0,Gold,Sports,Cash
CUST_019,2024-07-15,2025-07-08,22,1618.1,73.55,45.0,Bronze,Beauty,Card
CUST_020,2024-09-01,2025-02-12,33,12729.42,385.74,50.0,Bronze,Home,Online
CUST_021,2024-05-09,2025-04-15,13,1213.68,93.36,28.0,Gold,Sports,Card
CUST_022,2024-06-02,2024-12-14,32,939.2,29.35,41.0,Silver,Fashion,Card
CUST_023,2024-03-02,2025-01-16,6,366.66,61.11,49.0,Bronze,Sports,Card
CUST_024,2024-02-02,2024-11-01,36,3573.36,99.26,51.0,Gold,Beauty,Card
CUST_025,2024-08-25,2025-06-27,13,4708.86,362.22,43.0,Gold,Home,Cash
CUST_026,2024-08-18,2025-06-08,29,2264.32,78.08,32.0,Bronze,Home,Card
