student_id,course_category,hours_spent,completed_lessons,quiz_score,subscription_type,completion_status,registration_date
STD_001,Business,17.8,41,84.5,Free,Completed,2025-01-27
STD_002,Design,90.2,44,72.7,Basic,Completed,2025-01-08
STD_003,Data Science,30.1,6,70.3,Premium,Completed,2025-06-16
STD_004,Design,67.7,45,53.2,Basic,Completed,2025-02-10
STD_005,Business,53.6,45,56.7,Basic,Completed,2025-01-24
STD_006,Design,16.1,25,90.8,Basic,Completed,2025-04-28
STD_007,Data Science,19.4,35,95.3,Premium,Not Completed,2025-06-10
STD_008,Business,106.8,40,61.7,Premium,Completed,2025-01-12
STD_009,Data Science,31.2,43,57.4,Free,Completed,2025-04-08
STD_010,Business,57.1,18,90.0,Basic,Not Completed,2025-02-23
STD_011,Data Science,35.7,43,96.2,Premium,Completed,2025-05-17
STD_012,Programming,33.2,47,67.7,Premium,Completed,2025-06-25
STD_013,Business,101.9,21,86.6,Free,Not Completed,2025-04-13
STD_014,Design,12.6,18,94.8,Premium,Not Completed,2025-02-24
STD_015,Marketing,62.4,42,93.1,Free,Not Completed,2025-02-05
STD_016,Design,90.7,16,72.3,Basic,Not Completed,2025-04-03
STD_017,Marketing,119.7,15,48.3,Free,Completed,2025-01-29
STD_018,Marketing,77.2,10,87.5,Premium,Completed,2025-04-09
STD_019,Programming,73.5,25,68.1,Premium,Completed,2025-06-24
STD_020,Programming,18.2,47,93.1,Premium,Not Completed,2025-01-29
STD_021,Programming,55.0,19,67.2,Premium,Completed,2025-05-10
STD_022,Design,105.1,7,57.9,Premium,Completed,2025-02-09
STD_023,Design,92.7,24,72.4,Free,Not Completed,2025-05-06
STD_024,Programming,17.9,2,61.8,Free,Completed,2025-03-03
STD_025,Marketing,113.9,37,45.1,Free,Completed,2025-02-02
STD_026,Programming,59.7,43,73.0,Premium,Not Completed,2025-02-24
STD_027,Programming,91.9,35,81.4,Basic,Not Completed,2025-04-23
STD_028,Data Science,56.9,34,54.9,Basic,Completed,2025-05-31
STD_029,Data Science,31.5,36,53.2,Premium,Completed,2025-02-28
STD_030,Data Science,109.1,5,91.6,Premium,Completed,2025-03-13
STD_031,Design,60.8,43,72.4,Premium,Not Completed,2025-03-04
STD_032,Data Science,97.9,31,51.4,Premium,Not Completed,2025-04-01
STD_033,Data Science,52.3,28,91.8,Premium,Completed,2025-01-16
STD_034,Data Science,88.7,26,88.0,Free,Completed,2025-02-18
STD_035,Programming,56.6,35,65.3,Basic,Completed,2025-01-20
STD_036,Data Science,97.9,29,91.4,Free,Completed,2025-01-24
STD_037,Marketing,102.6,49,50.0,Basic,Completed,2025-04-13
STD_038,Marketing,23.9,4,40.1,Basic,Not Completed,2025-03-15
STD_039,Design,85.1,28,83.8,Premium,Not Completed,2025-02-09
STD_040,Design,39.1,13,98.1,Premium,Completed,2025-03-22
STD_041,Design,10.8,4,68.6,Free,Completed,2025-05-11
STD_042,Data Science,102.9,6,44.1,Premium,Completed,2025-04-14
STD_043,Design,113.3,8,74.2,Premium,Completed,2025-06-08
STD_044,Design,53.2,6,75.0,Basic,Not Completed,2025-02-22
STD_045,Marketing,87.4,43,54.3,Free,Not Completed,2025-04-28
STD_046,Data Science,111.8,21,96.1,Basic,Completed,2025-01-19
STD_047,Programming,29.5,35,55.9,Free,Completed,2025-04-05
STD_048,Programming,23.1,19,90.0,Premium,Completed,2025-06-20
STD_049,Business,39.4,36,79.8,Basic,Completed,2025-01-28
