customer_id,subscription_type,monthly_charges,tenure,churn
CUST001,Basic,39,21,No
CUST002,Premium,88,5,Yes
CUST003,Basic,84,4,Yes
CUST004,Basic,73,28,Yes
CUST005,Premium,74,36,Yes
CUST006,Premium,48,8,No
CUST007,Basic,93,4,No
CUST008,Basic,25,15,No
CUST009,Basic,73,19,Yes
CUST010,Premium,59,37,No
CUST011,Premium,33,12,No
CUST012,Premium,67,13,Yes
CUST013,Basic,92,5,Yes
CUST014,Standard,107,32,No
CUST015,Standard,94,30,No
CUST016,Premium,51,20,No
CUST017,Premium,30,16,No
CUST018,Standard,63,32,No
CUST019,Standard,29,39,Yes
CUST020,Standard,116,11,Yes
